date,Ticker,deltaH
2018-12-26,ADA,0.2105
2018-12-27,ADA,0.247
2018-12-28,ADA,0.2188
2018-12-29,ADA,0.2186
2018-12-30,ADA,0.2036
2018-12-31,ADA,0.1732
2019-01-01,ADA,0.1431
2019-01-02,ADA,0.1698
2019-01-03,ADA,0.15
2019-01-04,ADA,0.1452
2019-01-05,ADA,0.1463
2019-01-06,ADA,0.1873
2019-01-07,ADA,0.1696
2019-01-08,ADA,0.184
2019-01-09,ADA,0.1741
2019-01-10,ADA,0.2133
2019-01-11,ADA,0.1958
2019-01-12,ADA,0.231
2019-01-13,ADA,0.2294
2019-01-14,ADA,0.2423
2019-01-15,ADA,0.2048
2019-01-16,ADA,0.2223
2019-01-17,ADA,0.1695
2019-01-18,ADA,0.1941
2019-01-19,ADA,0.2062
2019-01-20,ADA,0.2128
2019-01-21,ADA,0.1909
2019-01-22,ADA,0.2148
2019-01-23,ADA,0.2366
2019-01-24,ADA,0.2048
2019-01-25,ADA,0.1858
2019-01-26,ADA,0.2151
2019-01-27,ADA,0.1999
2019-01-28,ADA,0.1658
2019-01-29,ADA,0.1536
2019-01-30,ADA,0.2
2019-01-31,ADA,0.1672
2019-02-01,ADA,0.1506
2019-02-02,ADA,0.1194
2019-02-03,ADA,0.1385
2019-02-04,ADA,0.1602
2019-02-05,ADA,0.1758
2019-02-06,ADA,0.1276
2019-02-07,ADA,0.1182
2019-02-08,ADA,0.0998
2019-02-09,ADA,0.0945
2019-02-10,ADA,0.076
2019-02-11,ADA,0.1107
2019-02-12,ADA,0.1334
2019-02-13,ADA,0.1625
2019-02-14,ADA,0.1411
2019-02-15,ADA,0.1493
2019-02-16,ADA,0.1108
2019-02-17,ADA,0.1171
2019-02-18,ADA,0.1044
2019-02-19,ADA,0.0862999999999999
2019-02-20,ADA,0.0904
2019-02-21,ADA,0.1005
2019-02-22,ADA,0.1161
2019-02-23,ADA,0.144
2019-02-24,ADA,0.1477
2019-02-25,ADA,0.1682
2019-02-26,ADA,0.1328
2019-02-27,ADA,0.1589
2019-02-28,ADA,0.1525
2019-03-01,ADA,0.1414
2019-03-02,ADA,0.1515
2019-03-03,ADA,0.2047
2019-03-04,ADA,0.17
2019-03-05,ADA,0.1582
2019-03-06,ADA,0.1642
2019-03-07,ADA,0.1851
